,23.07.13 10 uM AcAc 3,
Raman shift [1/cm],Intensity,
360.0000,1269.0195,
359.8000,1276.3026,
359.6000,1284.6016,
359.4000,1292.0562,
359.2000,1300.1624,
359.0000,1308.1228,
358.8000,1315.8905,
358.6000,1322.7201,
358.4000,1329.4742,
358.2000,1336.932,
358.0000,1345.6864,
357.8000,1353.9868,
357.6000,1362.1763,
357.4000,1370.3776,
357.2000,1378.4995,
357.0000,1386.658,
356.8000,1394.6725,
356.6000,1403.0006,
356.4000,1410.7942,
356.2000,1418.5126,
356.0000,1427.4961,
355.8000,1435.3042,
355.6000,1444.1023,
355.4000,1453.3511,
355.2000,1461.6375,
355.0000,1469.8507,
354.8000,1478.0042,
354.6000,1485.9425,
354.4000,1494.3748,
354.2000,1502.6741,
354.0000,1511.3922,
353.8000,1520.3229,
353.6000,1529.4482,
353.4000,1538.2861,
353.2000,1547.134,
353.0000,1556.3242,
352.8000,1564.9396,
352.6000,1573.1666,
352.4000,1581.5573,
352.2000,1589.2257,
352.0000,1597.2046,
351.8000,1605.4969,
351.6000,1613.4098,
351.4000,1622.1672,
351.2000,1630.1184,
351.0000,1638.8185,
350.8000,1648.1963,
350.6000,1657.8195,
350.4000,1667.2917,
350.2000,1676.1821,
350.0000,1684.8605,
349.8000,1693.6221,
349.6000,1702.7112,
349.4000,1712.2551,
349.2000,1721.4304,
349.0000,1730.4233,
348.8000,1739.9719,
348.6000,1747.8267,
348.4000,1756.4769,
348.2000,1765.9196,
348.0000,1775.1342,
347.8000,1784.2201,
347.6000,1793.5326,
347.4000,1802.865,
347.2000,1812.1428,
347.0000,1820.6233,
346.8000,1828.7415,
346.6000,1836.8127,
346.4000,1844.5839,
346.2000,1853.5803,
346.0000,1863.0814,
345.8000,1872.0797,
345.6000,1881.1675,
345.4000,1890.2311,
345.2000,1899.265,
345.0000,1907.9089,
344.8000,1916.0334,
344.6000,1923.9761,
344.4000,1932.4093,
344.2000,1941.1875,
344.0000,1949.2626,
343.8000,1957.4648,
343.6000,1966.3707,
343.4000,1975.0908,
343.2000,1982.9656,
343.0000,1990.6519,
342.8000,1999.2163,
342.6000,2008.6921,
342.4000,2018.397,
342.2000,2027.4492,
342.0000,2036.6439,
341.8000,2045.2166,
341.6000,2053.8979,
341.4000,2062.156,
341.2000,2069.8796,
341.0000,2077.7148,
340.8000,2086.2427,
340.6000,2094.9231,
340.4000,2104.6128,
340.2000,2112.4812,
340.0000,2120.7407,
339.8000,2129.4788,
339.6000,2138.5334,
339.4000,2147.7334,
339.2000,2155.2036,
339.0000,2163.3599,
338.8000,2171.4236,
338.6000,2180.0815,
338.4000,2188.6929,
338.2000,2196.6824,
338.0000,2204.4333,
337.8000,2211.0969,
337.6000,2217.3542,
337.4000,2225.4265,
337.2000,2232.8428,
337.0000,2240.4651,
336.8000,2249.0591,
336.6000,2256.9788,
336.4000,2265.218,
336.2000,2273.3435,
336.0000,2280.4602,
335.8000,2286.5757,
335.6000,2294.5095,
335.4000,2302.533,
335.2000,2309.054,
335.0000,2315.5015,
334.8000,2322.3843,
334.6000,2328.863,
334.4000,2335.5518,
334.2000,2342.7786,
334.0000,2348.9192,
333.8000,2354.9941,
333.6000,2360.6831,
333.4000,2366.9919,
333.2000,2372.147,
333.0000,2376.9915,
332.8000,2380.9287,
332.6000,2383.7688,
332.4000,2386.8411,
332.2000,2390.9917,
332.0000,2394.9932,
331.8000,2398.7371,
331.6000,2401.0576,
331.4000,2402.6338,
331.2000,2404.8579,
331.0000,2406.4797,
330.8000,2409.7202,
330.6000,2413.5945,
330.4000,2415.959,
330.2000,2418.4736,
330.0000,2420.2756,
329.8000,2422.3364,
329.6000,2424.458,
329.4000,2426.0791,
329.2000,2427.9817,
329.0000,2430.0447,
328.8000,2431.575,
328.6000,2432.1792,
328.4000,2431.751,
328.2000,2432.3291,
328.0000,2433.7673,
327.8000,2434.7874,
327.6000,2434.7991,
327.4000,2433.6931,
327.2000,2432.6726,
327.0000,2431.6772,
326.8000,2430.7734,
326.6000,2429.6379,
326.4000,2427.4778,
326.2000,2425.2495,
326.0000,2422.8081,
325.8000,2419.7109,
325.6000,2416.0212,
325.4000,2412.583,
325.2000,2410.1694,
325.0000,2407.5825,
324.8000,2402.3257,
324.6000,2396.3494,
324.4000,2390.2271,
324.2000,2384.2715,
324.0000,2378.1272,
323.8000,2373.1997,
323.6000,2367.6567,
323.4000,2361.8188,
323.2000,2355.5811,
323.0000,2348.8926,
322.8000,2342.2676,
322.6000,2335.3843,
322.4000,2327.0564,
322.2000,2319.0103,
322.0000,2310.2559,
321.8000,2301.2327,
321.6000,2290.9246,
321.4000,2281.5107,
321.2000,2272.5784,
321.0000,2262.9514,
320.8000,2253.1121,
320.6000,2242.8232,
320.4000,2232.0955,
320.2000,2220.8408,
320.0000,2211.1135,
319.8000,2200.5203,
319.6000,2188.8396,
319.4000,2177.1218,
319.2000,2165.6428,
319.0000,2154.3208,
318.8000,2142.2231,
318.6000,2129.2029,
318.4000,2116.8635,
318.2000,2103.6055,
318.0000,2090.3796,
317.8000,2078.2153,
317.6000,2064.2517,
317.4000,2050.2776,
317.2000,2037.3773,
317.0000,2023.6383,
316.8000,2009.2434,
316.6000,1995.1978,
316.4000,1981.547,
316.2000,1970.9039,
316.0000,1963.4635,
315.8000,1957.3345,
315.6000,1950.7433,
315.4000,1943.6117,
315.2000,1936.7433,
315.0000,1930.288,
