,23.07.13 10 uM L-ala 2.1,
Raman shift [1/cm],Intensity,
360.0000,1280.5413,
359.8000,1289.4824,
359.6000,1297.3389,
359.4000,1305.2064,
359.2000,1313.1184,
359.0000,1321.8712,
358.8000,1330.3708,
358.6000,1337.9113,
358.4000,1345.6445,
358.2000,1353.4572,
358.0000,1361.598,
357.8000,1369.8248,
357.6000,1379.0831,
357.4000,1387.7385,
357.2000,1396.4131,
357.0000,1405.5837,
356.8000,1414.1587,
356.6000,1423.0332,
356.4000,1432.0399,
356.2000,1440.2748,
356.0000,1448.1964,
355.8000,1456.3948,
355.6000,1464.6987,
355.4000,1473.8317,
355.2000,1482.7324,
355.0000,1491.8221,
354.8000,1500.4523,
354.6000,1508.9531,
354.4000,1517.5641,
354.2000,1526.6171,
354.0000,1535.14,
353.8000,1544.5103,
353.6000,1553.8618,
353.4000,1563.1102,
353.2000,1571.4855,
353.0000,1579.7913,
352.8000,1588.4778,
352.6000,1597.792,
352.4000,1607.5056,
352.2000,1616.8602,
352.0000,1626.6548,
351.8000,1635.4727,
351.6000,1644.4501,
351.4000,1653.4056,
351.2000,1662.6084,
351.0000,1671.5712,
350.8000,1680.9324,
350.6000,1689.5037,
350.4000,1698.3359,
350.2000,1707.439,
350.0000,1716.6465,
349.8000,1726.4281,
349.6000,1736.2186,
349.4000,1746.4453,
349.2000,1755.8098,
349.0000,1765.3158,
348.8000,1774.9037,
348.6000,1784.0863,
348.4000,1793.9728,
348.2000,1803.9578,
348.0000,1814.0941,
347.8000,1824.0858,
347.6000,1833.178,
347.4000,1841.979,
347.2000,1851.145,
347.0000,1860.7528,
346.8000,1870.1705,
346.6000,1878.6241,
346.4000,1886.7911,
346.2000,1895.4633,
346.0000,1904.3975,
345.8000,1913.7722,
345.6000,1922.9438,
345.4000,1931.8523,
345.2000,1940.2896,
345.0000,1949.1034,
344.8000,1958.3928,
344.6000,1967.968,
344.4000,1976.3295,
344.2000,1984.3998,
344.0000,1993.3473,
343.8000,2002.6266,
343.6000,2012.2487,
343.4000,2021.6149,
343.2000,2030.6056,
343.0000,2038.8418,
342.8000,2047.4587,
342.6000,2056.5605,
342.4000,2065.8242,
342.2000,2075.3083,
342.0000,2083.7751,
341.8000,2092.4675,
341.6000,2101.3291,
341.4000,2110.5676,
341.2000,2119.676,
341.0000,2128.3784,
340.8000,2137.1892,
340.6000,2145.8594,
340.4000,2154.7356,
340.2000,2163.1257,
340.0000,2172.2351,
339.8000,2179.7419,
339.6000,2188.1265,
339.4000,2196.5396,
339.2000,2203.9258,
339.0000,2211.8933,
338.8000,2219.511,
338.6000,2226.7153,
338.4000,2234.8137,
338.2000,2243.0383,
338.0000,2250.449,
337.8000,2258.6724,
337.6000,2266.0381,
337.4000,2272.3655,
337.2000,2279.6082,
337.0000,2288.3748,
336.8000,2296.5393,
336.6000,2303.5752,
336.4000,2310.2305,
336.2000,2317.4497,
336.0000,2323.9729,
335.8000,2331.2627,
335.6000,2338.6316,
335.4000,2345.3652,
335.2000,2352.7827,
335.0000,2358.6077,
334.8000,2364.2495,
334.6000,2369.4417,
334.4000,2375.0015,
334.2000,2380.0852,
334.0000,2385.7783,
333.8000,2391.6506,
333.6000,2397.8503,
333.4000,2403.7195,
333.2000,2408.9619,
333.0000,2414.0278,
332.8000,2419.3123,
332.6000,2424.4421,
332.4000,2428.8054,
332.2000,2432.7698,
332.0000,2435.2139,
331.8000,2437.3584,
331.6000,2439.9714,
331.4000,2442.9377,
331.2000,2446.6182,
331.0000,2449.6736,
330.8000,2451.4167,
330.6000,2453.1528,
330.4000,2454.6416,
330.2000,2456.0371,
330.0000,2457.1074,
329.8000,2458.5425,
329.6000,2460.8318,
329.4000,2462.6157,
329.2000,2463.5315,
329.0000,2464.592,
328.8000,2465.01,
328.6000,2465.2043,
328.4000,2464.8242,
328.2000,2464.0037,
328.0000,2463.3633,
327.8000,2463.4395,
327.6000,2462.8516,
327.4000,2462.3884,
327.2000,2461.9539,
327.0000,2460.5015,
326.8000,2458.7046,
326.6000,2456.8206,
326.4000,2454.6216,
326.2000,2451.8513,
326.0000,2448.0186,
325.8000,2444.3413,
325.6000,2439.8538,
325.4000,2435.2354,
325.2000,2431.4768,
325.0000,2427.4431,
324.8000,2422.2375,
324.6000,2416.6401,
324.4000,2411.1357,
324.2000,2405.7561,
324.0000,2400.5168,
323.8000,2394.7009,
323.6000,2388.386,
323.4000,2381.8828,
323.2000,2374.3381,
323.0000,2366.7756,
322.8000,2359.0305,
322.6000,2351.5796,
322.4000,2344.3511,
322.2000,2335.8054,
322.0000,2325.7876,
321.8000,2316.325,
321.6000,2307.2661,
321.4000,2298.9705,
321.2000,2290.2449,
321.0000,2281.0476,
320.8000,2271.0249,
320.6000,2260.2234,
320.4000,2249.4028,
320.2000,2238.8667,
320.0000,2228.9629,
319.8000,2217.8027,
319.6000,2206.9771,
319.4000,2196.0088,
319.2000,2183.6589,
319.0000,2169.2527,
318.8000,2156.2075,
318.6000,2144.0276,
318.4000,2131.5454,
318.2000,2118.4741,
318.0000,2105.3577,
317.8000,2091.0139,
317.6000,2076.4561,
317.4000,2062.2173,
317.2000,2047.8914,
317.0000,2034.022,
316.8000,2019.6221,
316.6000,2004.9437,
316.4000,1990.5438,
316.2000,1980.104,
316.0000,1972.4552,
315.8000,1965.5704,
315.6000,1958.5354,
315.4000,1951.0967,
315.2000,1943.9104,
315.0000,1937.2159,
